,x,y,z,roll,pitch,yaw,joint1,joint2,joint3,joint4,joint5,joint6,gripper
128,-91.98182778472273,252.95857678813854,122.55407754399357,93.063186,22.640771,-167.053466,113.020108,53.398521,44.569642,11.700428,-96.038842,-110.863036,1
129,-92.21335158036143,252.90766187998764,122.53568045822463,93.123976,24.60298,-166.713816,113.020108,53.398807,44.569642,11.469698,-96.034258,-112.928492,1
130,-92.62649769744579,252.809367860588,122.51464920535422,93.203732,26.903577,-166.127795,113.020108,53.398922,44.569527,11.04124,-96.034258,-115.235564,1
131,-93.03138260431324,252.7057722921658,122.49453477390064,93.319068,30.010326,-165.447694,113.020108,53.398922,44.56947,10.568837,-96.034258,-118.520503,1
132,-93.06484992843359,252.70974663669668,122.48957543804953,93.386792,32.016824,-165.377908,113.020108,53.399036,44.56947,10.634784,-96.034258,-120.421118,1
133,-93.11610896628828,252.70540583341298,122.48561385439652,93.414065,32.753362,-165.337342,113.020108,53.399036,44.569356,10.645728,-96.034258,-121.157254,1
134,-93.43001986929603,252.6248520680508,122.47113568832958,93.492675,34.342976,-164.864423,113.020108,53.399036,44.569241,10.294218,-96.034258,-122.805195,1
135,-93.7964382494878,252.53417683658662,122.45417627558086,93.607495,36.599455,-164.323322,113.020108,53.399036,44.569241,9.93165,-96.034258,-125.123268,1
136,-94.16620562763077,252.4421109005291,122.43766996515555,93.729593,38.76959,-163.789038,113.020108,53.399036,44.569241,9.580084,-96.034258,-127.353506,1
137,-94.55245151629671,252.33634385923912,122.42333951535231,93.789696,39.556892,-163.284721,113.020108,53.399036,44.569241,9.151626,-96.034258,-128.210479,1
138,-94.73135947014946,252.2944308094947,122.42002312695827,93.720998,38.141972,-163.257792,113.020108,53.399036,44.569241,8.997787,-96.034258,-126.705319,1
139,-94.84263330459999,252.26520453191355,122.42254324639725,93.559596,34.581383,-163.415184,113.020108,53.399036,44.569241,8.887951,-96.034258,-123.266598,1
140,-94.86371635745043,252.26115083114942,122.42993235142526,93.377338,29.763668,-163.736727,113.020108,53.399036,44.569241,8.865949,-96.034258,-118.443612,1
141,-94.82998884010256,252.26841747648967,122.44080286215426,93.170902,22.35985,-164.206324,113.020108,53.399036,44.569241,8.865949,-96.034258,-111.027819,1
142,-94.67508468316488,252.31163386060373,122.4539288215002,93.03173,15.01201,-164.779568,113.020108,53.399036,44.569241,9.019788,-96.034258,-103.645028,1
