,x,y,z,joint1,joint2,joint3,joint4,joint5,joint6,gripper
115,-0.48170174291418194,242.57830598840908,205.81910345242088,113.016899,57.265126,44.567923,12.974858,-96.514912,-96.503912,1.0
116,-0.5082195418790536,242.57678975699943,205.81767293050916,113.016899,57.265012,44.567923,12.733128,-96.514912,-96.503912,1.0
117,-0.5365162182142628,242.57501387780945,205.81820778530246,113.016899,57.264611,44.567923,12.623292,-96.514912,-96.965315,1.0
118,-0.5626759333136745,242.57335061029065,205.81865852238323,113.016899,57.263808,44.567923,12.480453,-96.514912,-98.063961,1.0
119,-0.5769310363883158,242.57246988848522,205.81845782791964,113.018446,57.233155,44.567923,12.183833,-96.629332,-98.327636,1.0
120,-0.5662412176339787,242.57317977502112,205.81813353730075,113.019764,56.836668,44.56947,12.172832,-96.784947,-98.27269,1.0
121,-0.5204645729981122,242.5760178774289,205.81837485128392,113.019993,55.099747,44.5701,12.030051,-96.807866,-99.283445,1.0
122,-0.43598431163752777,242.58099681830785,205.81977678762607,113.019993,53.468937,44.5701,12.128886,-96.762086,-100.14036,1.0
123,-0.3168918704586397,242.58773243467596,205.8223672223952,113.019993,53.397375,44.569871,12.150888,-96.24482,-100.546874,1.0
124,-0.19035778647431748,242.59484226512916,205.82411765943309,113.020108,53.397375,44.569871,12.117943,-96.24482,-102.513437,1.0
125,-0.09700797839682226,242.60032966678614,205.82214437253828,113.020108,53.397375,44.569871,11.843267,-96.208208,-105.534643,1.0
126,-0.07407446975692049,242.60211086493723,205.8160847937864,113.020108,53.397489,44.569871,11.711429,-96.061703,-108.270288,1.0
127,-0.14742672020663308,242.59829853418898,205.80926825769615,113.020108,53.397948,44.569757,11.700428,-96.043368,-109.390878,1.0
128,-0.32279826762526037,242.58843140433095,205.80068875161462,113.020108,53.398521,44.569642,11.700428,-96.038842,-110.863036,1.0
129,-0.5412589855731935,242.57721913881406,205.76948649775588,113.020108,53.398807,44.569642,11.469698,-96.034258,-112.928492,1.0
130,-0.7155216685376204,242.57151588943907,205.68790259338977,113.020108,53.398922,44.569527,11.04124,-96.034258,-115.235564,1.0
131,-0.8224194318046462,242.5721876816858,205.56008696284104,113.020108,53.398922,44.56947,10.568837,-96.034258,-118.520503,1.0
132,-0.944067603839895,242.5703950194199,205.44152318745057,113.020108,53.399036,44.56947,10.634784,-96.034258,-120.421118,1.0
133,-1.1459705992493512,242.55886509658183,205.38516323705645,113.020108,53.399036,44.569356,10.645728,-96.034258,-121.157254,1.0
134,-1.3311391348731472,242.54545736344048,205.38488726138544,113.020108,53.399036,44.569241,10.294218,-96.034258,-122.805195,1.0
135,-1.3333406388625735,242.54483859973973,205.40075733415992,113.020108,53.399036,44.569241,9.93165,-96.034258,-125.123268,1.0
136,-1.164125680134431,242.5573623083576,205.40533089380915,113.020108,53.399036,44.569241,9.580084,-96.034258,-127.353506,1.0
137,-1.1218198787049805,242.55991227693082,205.39932662158753,113.020108,53.399036,44.569241,9.151626,-96.034258,-128.210479,1.0
138,-1.480507735361352,242.53066936862055,205.3896333574039,113.020108,53.399036,44.569241,8.997787,-96.034258,-126.705319,1.0
139,-2.155200775208678,242.4746773398292,205.3792136983841,113.020108,53.399036,44.569241,8.887951,-96.034258,-123.266598,1.0
140,-2.865939516939584,242.41166901290737,205.36821890084948,113.020108,53.399036,44.569241,8.865949,-96.034258,-118.443612,1.0
141,-3.4448389768868597,242.35339514009954,205.35677091897975,113.020108,53.399036,44.569241,8.865949,-96.034258,-111.027819,1.0
142,-3.9409975837031044,242.29617636099826,205.34565279077984,113.020108,53.399036,44.569241,9.019788,-96.034258,-103.645028,1.0
143,-4.418899319508225,242.23689915819062,205.33596328878468,113.020108,53.399036,44.569241,9.129624,-96.034258,-95.240482,1.0
144,-4.799973613622552,242.1886289187955,205.3293077304459,113.020108,53.399036,44.569241,9.602028,-96.034258,-88.857446,1.0
145,-4.935086924505015,242.17182896578166,205.32734068387228,113.020108,53.399036,44.569241,10.107434,-96.034258,-79.584984,1.0
146,-4.7647080711816905,242.19427081960757,205.3303305868818,113.020108,53.399036,44.569241,10.393053,-96.034258,-71.147435,1.0
147,-4.381071895559092,242.24281511025293,205.33646080913448,113.020108,53.399036,44.569241,10.733619,-96.034258,-62.204595,1.0
148,-3.8988622370684007,242.3010438238061,205.3437410813691,113.020108,53.399036,44.569241,11.326917,-96.034258,-55.129369,1.0
149,-3.3783760554049107,242.35940538704816,205.3514002535969,113.020108,53.399036,44.569241,11.689428,-96.034258,-50.570057,1.0
150,-2.852403354102471,242.41261141786188,205.35922778975586,113.020108,53.399036,44.569241,11.854268,-96.034258,-41.945782,1.0
151,-2.386733173299144,242.45583307476574,205.36607224088377,113.020108,53.399036,44.569241,12.095941,-96.034258,-34.77172,1.0
152,-2.090212650918773,242.4845817665257,205.36946066693423,113.020108,53.399036,44.569241,12.5354,-96.034258,-29.77295,1.0
153,-1.986541587401263,242.4992359139808,205.36823863929695,113.020108,53.399036,44.569241,13.645047,-96.034258,-26.718741,1.0
154,-1.7633940689405776,242.51694203637172,205.36702508285185,113.020108,53.399036,44.569241,14.359124,-96.029675,-18.819601,1.0
155,-0.9811175024864337,242.56031481506136,205.37274925889457,113.020108,53.399036,44.569241,14.227287,-96.029675,-15.402824,1.0
156,0.4541536122961606,242.62961047426603,205.38708469179917,113.020108,53.399036,44.569241,13.996557,-96.029675,-8.712167,1.0
157,2.1050260840281307,242.69232044055673,205.40361718680361,113.020108,53.398922,44.569241,14.161397,-96.029675,-3.625505,1.0
158,3.4549964306371983,242.71830837152703,205.41526161202353,113.020108,53.398922,44.569241,14.084449,-96.029675,-3.669451,1.0
159,4.163494036068831,242.71332750756247,205.41944953490207,113.020108,53.398922,44.569126,12.491454,-96.029675,-3.240993,1.0
